               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10359,            0.043014,            0.058258,           0.0010883,             0.13838,          0.00089673,          0.00028111,              0.0983,            0.034615,            0.055645,            0.070484,           0.0032796,           0.0032796
                   1,             0.10154,            0.041937,            0.057453,            0.001231,             0.11548,           0.0011196,          0.00038533,            0.098257,            0.034058,            0.056368,            0.040462,           0.0065911,           0.0065911
                   2,             0.09824,            0.042281,            0.056306,            0.008879,           0.0071429,           0.0013703,          0.00034022,             0.10553,            0.055773,             0.16773,            0.010418,           0.0098806,           0.0098806
                   3,             0.09475,            0.042346,            0.054191,           0.0009534,             0.10465,           0.0013383,          0.00038735,                 nan,                 nan,             0.17622,            0.009901,            0.009901,            0.009901
                   4,            0.093269,            0.041154,            0.050615,           0.0077081,              0.1063,           0.0045359,           0.0014612,                 nan,                 nan,            0.051483,            0.009901,            0.009901,            0.009901
                   5,            0.091487,            0.040861,            0.047115,           0.0013872,             0.12955,           0.0031936,          0.00090929,              0.0985,            0.029043,            0.046463,            0.009868,            0.009868,            0.009868
                   6,                 nan,                 nan,            0.045147,           0.0012236,             0.14502,           0.0012679,          0.00028724,            0.097549,            0.030179,            0.045178,            0.009835,            0.009835,            0.009835
                   7,                 nan,                 nan,            0.043508,           0.0019498,             0.10465,            0.001528,          0.00022197,            0.097389,            0.030716,            0.043312,            0.009802,            0.009802,            0.009802
                   8,            0.090435,            0.041403,            0.042659,            0.001272,             0.10465,             0.00142,          0.00037639,             0.10006,            0.029907,            0.042668,            0.009769,            0.009769,            0.009769
                   9,            0.089561,            0.042277,            0.041524,          0.00044824,            0.088095,          0.00050473,          0.00012694,            0.096057,            0.031799,            0.041511,            0.009736,            0.009736,            0.009736
                  10,            0.088342,            0.041434,            0.041016,          0.00044213,            0.091667,          0.00086238,          0.00021315,            0.096266,            0.031747,            0.040875,            0.009703,            0.009703,            0.009703
                  11,            0.086478,            0.042087,            0.040148,          0.00090367,             0.29762,           0.0049851,           0.0012705,            0.097686,            0.032013,             0.05054,             0.00967,             0.00967,             0.00967
                  12,            0.084047,            0.043621,            0.039284,           0.0034241,             0.22378,           0.0029465,           0.0011632,            0.094441,            0.031775,            0.041322,            0.009637,            0.009637,            0.009637
                  13,            0.080498,            0.045391,            0.038311,          0.00048711,             0.14253,           0.0044233,           0.0010075,            0.096119,            0.036995,            0.059451,            0.009604,            0.009604,            0.009604
                  14,            0.078258,            0.044741,            0.036721,           0.0037047,             0.47446,            0.027086,           0.0077356,            0.087014,            0.035619,            0.040474,            0.009571,            0.009571,            0.009571
                  15,            0.075687,            0.045031,            0.034962,           0.0016437,             0.29279,           0.0031614,           0.0008378,             0.09392,            0.031982,            0.047303,            0.009538,            0.009538,            0.009538
                  16,            0.073193,            0.045264,            0.034424,           0.0036989,             0.40983,            0.016196,           0.0053294,            0.084296,            0.036593,            0.040136,            0.009505,            0.009505,            0.009505
                  17,            0.072069,            0.044554,            0.032752,            0.010954,              0.5193,            0.045623,            0.021134,            0.083453,            0.036344,            0.037786,            0.009472,            0.009472,            0.009472
                  18,            0.069082,            0.045337,            0.031944,             0.18081,             0.21144,            0.089622,            0.038154,            0.087262,            0.033839,            0.048802,            0.009439,            0.009439,            0.009439
                  19,            0.068306,            0.046589,            0.031742,           0.0025198,             0.17816,           0.0053561,           0.0014835,             0.09295,            0.041461,            0.054444,            0.009406,            0.009406,            0.009406
                  20,            0.066767,            0.043124,             0.02944,           0.0037959,             0.40144,           0.0090444,           0.0035489,            0.089221,            0.032738,            0.056361,            0.009373,            0.009373,            0.009373
                  21,            0.065579,            0.044695,            0.028544,            0.007799,             0.30241,            0.015161,           0.0054839,            0.087542,            0.033188,            0.052136,             0.00934,             0.00934,             0.00934
                  22,            0.063626,            0.044593,            0.027774,             0.16634,             0.16006,             0.12542,            0.050877,            0.074727,            0.040522,            0.040213,            0.009307,            0.009307,            0.009307
                  23,             0.06325,            0.043327,            0.027481,             0.15416,             0.14419,            0.054859,            0.021777,            0.081141,            0.037562,            0.044888,            0.009274,            0.009274,            0.009274
                  24,            0.061061,            0.043227,            0.026127,             0.22217,              0.1763,              0.1665,            0.074979,            0.076249,            0.035144,            0.041849,            0.009241,            0.009241,            0.009241
                  25,            0.060585,            0.043344,             0.02553,             0.16671,             0.24015,             0.18517,            0.082892,            0.074561,            0.036587,            0.029895,            0.009208,            0.009208,            0.009208
                  26,            0.059188,             0.04235,            0.025112,             0.26512,             0.33548,             0.26194,             0.11061,            0.069295,            0.035055,            0.029026,            0.009175,            0.009175,            0.009175
