               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10543,            0.030143,            0.035028,          0.00085131,             0.12767,          0.00078101,          0.00024932,            0.098292,            0.024164,            0.033415,            0.070484,           0.0032796,           0.0032796
                   1,             0.10332,            0.029463,            0.034704,           0.0012432,             0.14286,           0.0014425,          0.00059015,            0.099589,            0.024139,            0.035017,            0.040464,           0.0065931,           0.0065931
                   2,               0.101,            0.028882,            0.034173,          0.00061993,           0.0075397,           0.0003474,          0.00013505,                 nan,                 nan,             0.11731,            0.010424,           0.0098866,           0.0098866
                   3,            0.097014,            0.029225,             0.03323,           0.0003871,            0.084524,          0.00065468,          0.00022244,                 nan,                 nan,             0.15888,             0.00991,             0.00991,             0.00991
                   4,            0.094651,            0.027856,            0.032239,           0.0010624,            0.092749,          0.00072961,          0.00011103,             0.10297,            0.022324,            0.033402,             0.00991,             0.00991,             0.00991
                   5,            0.093286,            0.027845,            0.030818,           0.0030452,             0.11645,           0.0046653,          0.00083795,            0.099979,            0.022132,            0.031364,             0.00988,             0.00988,             0.00988
                   6,            0.093263,            0.027953,            0.029863,           0.0020621,             0.12716,           0.0019451,          0.00041407,            0.097102,            0.020568,            0.029589,             0.00985,             0.00985,             0.00985
                   7,             0.09244,            0.027581,            0.028955,          0.00091368,              0.1211,           0.0036326,           0.0012063,            0.097372,            0.020678,            0.028893,             0.00982,             0.00982,             0.00982
                   8,            0.090842,            0.028345,            0.028189,           0.0017558,             0.15909,           0.0050509,          0.00094241,            0.097142,            0.020931,            0.028021,             0.00979,             0.00979,             0.00979
                   9,             0.09049,             0.02834,            0.027467,           0.0021671,             0.14372,           0.0030161,          0.00055919,            0.097354,            0.021099,            0.027139,             0.00976,             0.00976,             0.00976
                  10,            0.090983,            0.028233,            0.027042,          0.00039318,             0.13214,           0.0014024,          0.00031501,            0.098847,            0.020859,             0.03099,             0.00973,             0.00973,             0.00973
                  11,            0.089764,            0.028297,             0.02723,           0.0004972,             0.18203,           0.0014209,          0.00035948,            0.097473,            0.022126,            0.030843,              0.0097,              0.0097,              0.0097
                  12,            0.086887,            0.029346,            0.026689,          0.00077912,             0.28561,           0.0046206,            0.001236,            0.095388,            0.023515,            0.029138,             0.00967,             0.00967,             0.00967
                  13,            0.084693,            0.028602,            0.025792,            0.001063,             0.28907,            0.016144,           0.0056693,            0.091677,            0.023132,            0.025618,             0.00964,             0.00964,             0.00964
                  14,            0.082492,            0.029187,            0.025636,           0.0014893,             0.16602,            0.001381,          0.00043298,            0.096483,            0.022739,            0.024626,             0.00961,             0.00961,             0.00961
                  15,            0.080256,             0.03019,            0.025617,          0.00096525,             0.32716,           0.0032407,          0.00098048,            0.096941,              0.0242,            0.028758,             0.00958,             0.00958,             0.00958
                  16,            0.078693,            0.029647,            0.025152,           0.0011657,             0.32902,           0.0059372,           0.0013681,            0.093261,            0.022324,            0.027513,             0.00955,             0.00955,             0.00955
                  17,            0.076694,            0.030165,            0.025097,           0.0018159,             0.35862,           0.0048752,           0.0014181,            0.087954,             0.02423,            0.026056,             0.00952,             0.00952,             0.00952
                  18,            0.075543,            0.030699,            0.024876,           0.0021073,            0.061075,           0.0024692,          0.00073088,            0.098171,            0.025432,            0.025324,             0.00949,             0.00949,             0.00949
                  19,            0.073887,            0.030837,            0.024573,           0.0032033,             0.42309,            0.013799,           0.0042714,            0.086034,            0.024342,            0.026113,             0.00946,             0.00946,             0.00946
                  20,            0.072692,            0.030684,            0.024141,           0.0043962,             0.40039,             0.01717,           0.0070588,            0.080574,            0.025325,            0.023729,             0.00943,             0.00943,             0.00943
                  21,            0.071621,            0.030389,            0.023608,            0.012546,             0.24113,            0.023157,           0.0069525,            0.093203,            0.026244,            0.023436,              0.0094,              0.0094,              0.0094
                  22,            0.069813,            0.030915,            0.023898,            0.017043,             0.58601,            0.052741,            0.023533,            0.078587,             0.02569,            0.022383,             0.00937,             0.00937,             0.00937
                  23,             0.06904,            0.030474,            0.023338,           0.0084978,             0.47216,            0.031254,            0.010203,            0.082003,            0.024766,            0.023275,             0.00934,             0.00934,             0.00934
                  24,            0.068304,             0.03114,            0.023054,              0.3659,            0.048485,            0.043175,            0.011769,            0.095538,            0.038609,            0.027397,             0.00931,             0.00931,             0.00931
                  25,            0.066656,            0.031446,            0.022933,            0.018467,             0.63735,            0.071589,            0.026932,            0.076273,            0.026696,            0.022422,             0.00928,             0.00928,             0.00928
                  26,             0.06556,            0.030935,            0.022931,             0.34572,            0.084927,             0.12046,            0.056347,            0.087806,             0.02355,            0.021828,             0.00925,             0.00925,             0.00925
                  27,            0.065725,            0.030372,            0.022306,            0.055199,             0.45095,            0.069802,            0.023335,            0.077199,             0.02537,             0.02144,             0.00922,             0.00922,             0.00922
                  28,            0.064418,            0.031009,            0.021673,             0.40721,             0.11396,             0.15738,            0.075296,            0.070798,              0.0259,            0.019969,             0.00919,             0.00919,             0.00919
                  29,            0.063427,            0.030135,            0.021428,            0.032995,             0.30106,            0.041875,            0.018541,            0.086439,            0.036893,            0.033717,             0.00916,             0.00916,             0.00916
                  30,            0.062914,            0.029547,            0.020969,             0.19249,            0.097403,            0.034897,            0.013141,            0.087953,            0.036622,            0.036386,             0.00913,             0.00913,             0.00913
                  31,            0.062407,            0.030891,            0.020881,            0.022937,             0.37533,            0.032519,            0.012772,            0.080531,            0.027171,            0.031222,              0.0091,              0.0091,              0.0091
                  32,            0.062157,            0.030042,             0.02057,             0.54034,             0.10157,             0.11196,             0.04374,            0.075962,            0.025718,            0.024578,             0.00907,             0.00907,             0.00907
                  33,            0.061492,            0.029836,            0.020171,            0.056514,             0.33898,            0.099624,            0.042142,            0.078698,            0.031015,            0.027723,             0.00904,             0.00904,             0.00904
                  34,            0.060867,            0.030284,            0.019646,             0.30896,             0.26616,             0.26578,             0.10946,            0.068177,            0.026014,            0.019746,             0.00901,             0.00901,             0.00901
                  35,            0.060591,            0.029942,            0.019806,              0.2907,             0.19262,             0.13413,            0.062308,            0.075135,            0.029662,             0.02649,             0.00898,             0.00898,             0.00898
                  36,            0.059215,             0.02945,            0.019147,             0.36858,             0.29907,             0.29821,             0.15016,            0.064303,            0.026651,            0.016902,             0.00895,             0.00895,             0.00895
                  37,            0.058995,            0.029467,            0.018991,             0.32262,             0.14114,             0.13358,            0.061276,             0.10178,            0.021158,            0.028995,             0.00892,             0.00892,             0.00892
                  38,            0.059389,            0.029848,             0.01867,             0.41695,             0.33475,             0.25725,             0.11387,             0.06676,            0.026301,            0.018561,             0.00889,             0.00889,             0.00889
                  39,            0.058049,            0.030035,            0.018516,             0.26046,             0.25956,             0.19844,             0.10417,              0.0763,            0.025351,            0.021329,             0.00886,             0.00886,             0.00886
                  40,            0.056961,            0.030779,            0.018386,             0.22046,             0.13669,              0.1102,            0.053932,            0.069558,            0.026091,            0.019903,             0.00883,             0.00883,             0.00883
                  41,            0.057427,            0.028892,            0.018196,             0.02526,            0.085306,            0.024838,            0.012642,            0.080645,             0.02642,            0.028672,              0.0088,              0.0088,              0.0088
                  42,            0.056989,            0.029508,            0.017742,              0.3092,             0.31684,             0.28436,             0.13697,            0.064258,            0.026276,            0.016679,             0.00877,             0.00877,             0.00877
                  43,            0.055624,            0.027972,            0.017381,             0.39272,             0.28718,             0.23654,            0.095188,            0.070501,            0.031748,            0.024152,             0.00874,             0.00874,             0.00874
                  44,            0.056071,            0.029357,            0.017145,              0.3027,             0.34429,             0.30577,             0.13951,            0.063676,            0.025524,            0.016826,             0.00871,             0.00871,             0.00871
                  45,            0.056063,            0.028935,            0.017044,             0.41319,             0.40964,             0.40791,             0.18539,            0.060945,            0.026402,            0.015914,             0.00868,             0.00868,             0.00868
                  46,            0.055016,            0.028879,            0.016604,             0.33581,             0.33596,             0.21337,            0.096523,            0.068814,            0.026759,            0.018107,             0.00865,             0.00865,             0.00865
                  47,            0.054663,            0.027557,            0.016588,            0.092402,             0.14594,            0.088854,            0.052054,            0.088923,            0.032482,            0.029617,             0.00862,             0.00862,             0.00862
                  48,            0.054783,            0.029147,            0.016651,             0.33633,             0.31147,             0.19336,             0.10598,            0.072482,             0.02781,            0.024853,             0.00859,             0.00859,             0.00859
                  49,            0.053472,            0.028846,             0.01631,             0.27786,             0.24624,             0.18146,            0.086064,            0.069739,            0.026981,            0.019372,             0.00856,             0.00856,             0.00856
                  50,            0.053088,            0.028679,            0.016244,             0.33358,             0.36985,             0.25696,             0.13298,            0.062829,            0.026525,            0.016875,             0.00853,             0.00853,             0.00853
                  51,             0.05236,            0.027684,            0.015757,             0.34802,             0.33382,             0.31293,             0.13789,            0.068811,            0.026023,            0.018784,              0.0085,              0.0085,              0.0085
                  52,            0.053597,            0.028291,            0.015903,             0.24721,             0.30684,             0.23596,             0.12187,            0.073811,            0.030306,            0.032495,             0.00847,             0.00847,             0.00847
                  53,            0.052488,            0.028052,            0.015754,             0.44604,             0.33023,             0.34015,             0.19002,            0.062371,            0.025354,            0.020262,             0.00844,             0.00844,             0.00844
                  54,             0.05184,            0.028359,             0.01537,             0.41328,             0.44395,             0.39638,             0.22761,            0.059372,             0.02676,            0.017424,             0.00841,             0.00841,             0.00841
                  55,            0.051296,            0.027849,            0.015313,             0.36427,             0.32801,             0.31738,             0.15271,            0.062704,            0.028077,            0.018518,             0.00838,             0.00838,             0.00838
                  56,            0.050949,            0.028504,             0.01543,             0.25802,             0.24008,             0.19548,             0.11456,            0.072407,            0.027162,            0.022419,             0.00835,             0.00835,             0.00835
                  57,            0.050256,            0.027464,            0.015261,             0.40565,             0.47566,             0.38316,             0.18075,            0.058409,            0.027887,            0.018481,             0.00832,             0.00832,             0.00832
                  58,            0.050299,            0.027718,            0.014575,             0.34069,             0.49898,             0.32911,             0.18576,            0.060984,            0.026491,              0.0189,             0.00829,             0.00829,             0.00829
                  59,            0.049536,            0.028857,            0.015233,             0.46025,             0.38356,             0.38752,             0.24461,            0.056244,            0.025661,            0.017298,             0.00826,             0.00826,             0.00826
                  60,            0.050072,            0.027439,            0.014523,             0.47197,             0.52213,             0.45004,             0.18629,            0.056525,            0.027374,            0.015763,             0.00823,             0.00823,             0.00823
                  61,            0.049369,            0.028468,            0.014734,              0.5292,             0.43532,             0.44665,             0.22796,            0.057302,            0.026941,            0.017048,              0.0082,              0.0082,              0.0082
                  62,            0.048963,            0.027521,            0.014015,             0.28026,             0.30682,              0.2332,             0.13286,            0.066474,            0.027414,            0.022328,             0.00817,             0.00817,             0.00817
                  63,             0.04871,            0.027991,            0.014036,             0.16712,             0.28372,              0.1526,            0.085917,            0.073537,            0.028616,            0.021578,             0.00814,             0.00814,             0.00814
                  64,            0.049718,            0.027776,            0.014654,             0.38714,               0.476,             0.35491,             0.17558,            0.059475,            0.030998,            0.016726,             0.00811,             0.00811,             0.00811
                  65,            0.048551,            0.027724,            0.014517,             0.59888,             0.47233,             0.49469,             0.31274,            0.058655,            0.025971,            0.016499,             0.00808,             0.00808,             0.00808
                  66,            0.048222,            0.027116,            0.013721,             0.31077,             0.38871,              0.3335,             0.18814,            0.059816,            0.025423,            0.019473,             0.00805,             0.00805,             0.00805
                  67,            0.048773,            0.026752,            0.013686,             0.49993,             0.52385,             0.52262,             0.27924,            0.056807,            0.025337,             0.01596,             0.00802,             0.00802,             0.00802
                  68,            0.047923,            0.027095,            0.013595,             0.28165,             0.32228,             0.28184,             0.14755,            0.060768,            0.028624,            0.018797,             0.00799,             0.00799,             0.00799
                  69,            0.047748,            0.027704,            0.013677,             0.46613,             0.42218,                0.41,             0.22969,            0.061418,            0.024927,            0.017267,             0.00796,             0.00796,             0.00796
                  70,            0.048502,            0.027555,            0.013745,             0.42647,             0.44409,             0.46779,             0.23358,            0.053728,            0.025747,            0.013742,             0.00793,             0.00793,             0.00793
                  71,            0.047692,            0.027413,            0.013738,             0.42625,             0.45045,             0.34732,             0.19153,            0.057465,             0.02554,            0.016825,              0.0079,              0.0079,              0.0079
                  72,            0.046825,            0.026363,            0.013378,             0.47494,             0.36698,             0.38537,             0.24282,            0.056265,            0.025442,            0.018844,             0.00787,             0.00787,             0.00787
                  73,            0.046638,            0.026211,            0.013156,             0.49309,             0.53093,             0.43317,             0.26649,            0.058065,            0.025279,            0.017917,             0.00784,             0.00784,             0.00784
                  74,            0.046852,            0.026665,            0.012958,              0.4307,             0.47196,             0.45936,             0.28926,            0.055461,            0.025959,            0.018267,             0.00781,             0.00781,             0.00781
                  75,            0.046071,            0.025874,            0.013295,             0.61256,             0.51554,             0.53785,              0.3156,            0.050743,            0.024681,            0.013325,             0.00778,             0.00778,             0.00778
                  76,             0.04615,            0.027605,            0.013008,             0.49315,             0.45792,             0.49779,             0.30972,            0.056017,            0.026252,            0.016124,             0.00775,             0.00775,             0.00775
                  77,             0.04602,            0.026387,            0.013125,             0.50187,             0.44091,             0.49447,              0.2852,            0.055234,            0.024523,             0.01475,             0.00772,             0.00772,             0.00772
                  78,            0.045807,            0.026819,            0.012603,             0.60489,             0.43196,             0.49245,              0.2987,             0.05264,            0.025487,             0.01619,             0.00769,             0.00769,             0.00769
                  79,            0.045884,            0.026597,            0.013141,             0.41657,             0.44964,             0.44272,              0.2689,            0.052272,            0.024867,            0.014606,             0.00766,             0.00766,             0.00766
                  80,             0.04564,            0.026521,            0.012712,             0.62412,             0.49852,             0.56494,             0.37795,            0.052037,            0.024656,             0.01528,             0.00763,             0.00763,             0.00763
                  81,            0.045008,            0.026308,            0.012386,             0.47289,             0.51588,             0.51501,             0.30632,            0.050561,            0.024233,            0.012649,              0.0076,              0.0076,              0.0076
                  82,            0.045138,            0.026458,            0.012624,             0.61955,             0.46179,             0.52523,             0.32918,            0.052201,            0.023953,            0.012898,             0.00757,             0.00757,             0.00757
                  83,            0.045546,            0.026554,            0.012527,             0.39379,             0.49196,             0.46351,             0.31507,            0.061794,            0.027988,            0.018961,             0.00754,             0.00754,             0.00754
                  84,            0.044371,            0.025689,            0.011776,             0.53273,             0.55224,             0.53574,             0.30953,            0.048133,             0.02527,            0.013162,             0.00751,             0.00751,             0.00751
                  85,            0.044363,            0.026507,             0.01213,             0.55249,             0.56576,             0.49735,             0.27632,            0.053135,            0.024814,            0.015346,             0.00748,             0.00748,             0.00748
                  86,            0.044076,            0.025824,            0.012224,             0.58512,             0.52909,             0.55061,             0.33505,            0.051217,            0.023694,             0.01279,             0.00745,             0.00745,             0.00745
                  87,            0.044821,            0.026302,            0.011955,             0.46154,             0.58284,             0.53371,             0.31158,            0.051346,             0.02731,            0.015035,             0.00742,             0.00742,             0.00742
                  88,            0.044185,            0.026346,            0.012693,             0.50652,             0.58063,             0.56191,             0.34104,            0.049704,            0.024522,            0.012542,             0.00739,             0.00739,             0.00739
                  89,            0.043267,            0.026449,            0.011808,             0.63182,             0.57557,               0.599,             0.36016,            0.049321,            0.023592,            0.013206,             0.00736,             0.00736,             0.00736
                  90,            0.044681,            0.025772,            0.011666,             0.68355,             0.55159,             0.60811,              0.3705,            0.049582,            0.023545,             0.01251,             0.00733,             0.00733,             0.00733
                  91,            0.043502,            0.025543,            0.011678,             0.65736,             0.54922,             0.58733,             0.36652,            0.049393,             0.02397,            0.012119,              0.0073,              0.0073,              0.0073
                  92,            0.042991,            0.025454,            0.011789,             0.54302,              0.4552,             0.46881,              0.2311,            0.051416,            0.024921,            0.013801,             0.00727,             0.00727,             0.00727
