               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10565,            0.044707,            0.057504,          0.00090436,             0.11032,          0.00068392,          0.00021448,             0.10127,            0.036265,            0.055699,              0.0766,              0.0026,              0.0026
                   1,             0.10453,             0.04254,            0.056919,          0.00085014,            0.092063,          0.00062539,          0.00017356,             0.10102,            0.036133,             0.05567,            0.052283,           0.0052825,           0.0052825
                   2,             0.10344,            0.041949,            0.056847,          0.00080927,            0.088889,          0.00055714,          0.00014463,             0.10079,            0.036166,            0.055617,            0.027947,           0.0079472,           0.0079472
                   3,             0.10225,            0.042858,            0.056376,          0.00074728,            0.086905,          0.00061867,          0.00018006,             0.10404,            0.034238,            0.056866,            0.009901,            0.009901,            0.009901
                   4,             0.10014,             0.04278,            0.055655,          0.00079225,            0.012987,          0.00061283,          0.00012917,             0.10761,            0.044094,             0.13333,            0.009901,            0.009901,            0.009901
                   5,            0.098942,            0.041447,            0.054463,           0.0015814,             0.15907,           0.0047649,            0.002734,             0.10944,            0.037544,             0.29636,            0.009868,            0.009868,            0.009868
                   6,            0.098054,            0.039993,            0.053377,          0.00026376,            0.041667,          0.00016766,          4.4374e-05,                 nan,                 nan,             0.32341,            0.009835,            0.009835,            0.009835
                   7,            0.096849,            0.038598,            0.051407,           0.0018021,             0.10703,           0.0012294,          0.00041136,                 nan,                 nan,             0.13537,            0.009802,            0.009802,            0.009802
                   8,            0.097071,            0.038095,            0.049379,           0.0014734,             0.11021,             0.00116,          0.00021704,             0.11039,            0.030172,            0.070727,            0.009769,            0.009769,            0.009769
                   9,            0.097074,            0.038272,            0.047822,           0.0015711,             0.11492,           0.0011212,          0.00031093,             0.10258,            0.032764,              0.0484,            0.009736,            0.009736,            0.009736
                  10,            0.096581,            0.040112,            0.045993,           0.0027759,             0.17978,           0.0019531,          0.00067138,             0.10152,            0.031554,            0.046449,            0.009703,            0.009703,            0.009703
                  11,            0.095741,            0.038136,            0.044671,           0.0020475,             0.13335,           0.0013537,          0.00052448,             0.10082,            0.031998,            0.044918,             0.00967,             0.00967,             0.00967
                  12,            0.096489,               0.037,             0.04232,            0.002575,             0.17174,            0.007617,           0.0020419,             0.10036,            0.032393,            0.044669,            0.009637,            0.009637,            0.009637
                  13,            0.096142,            0.039591,            0.041801,           0.0020645,             0.17401,           0.0019726,          0.00065402,            0.099681,            0.033002,            0.044451,            0.009604,            0.009604,            0.009604
                  14,            0.094856,            0.039027,            0.040025,           0.0014062,             0.11883,           0.0010473,          0.00029452,             0.10292,            0.030326,            0.049493,            0.009571,            0.009571,            0.009571
                  15,            0.094324,            0.038746,            0.039687,           0.0013479,             0.12637,           0.0010918,          0.00029298,            0.098229,            0.033557,            0.042059,            0.009538,            0.009538,            0.009538
