               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10568,            0.044488,            0.057474,          0.00095641,             0.10437,          0.00071831,          0.00022161,             0.10128,            0.036252,            0.055702,              0.0766,              0.0026,              0.0026
                   1,             0.10451,            0.042585,            0.056952,          0.00095864,             0.10833,            0.000683,          0.00017889,             0.10105,            0.036097,            0.055684,            0.052283,           0.0052825,           0.0052825
                   2,             0.10364,             0.04194,            0.056982,           0.0036868,             0.21865,           0.0038789,           0.0012936,             0.10082,            0.036062,            0.055684,            0.027947,           0.0079472,           0.0079472
                   3,             0.10238,            0.042788,            0.056297,          0.00077979,             0.10913,          0.00057372,          0.00015855,             0.10333,            0.034271,            0.055709,            0.009901,            0.009901,            0.009901
                   4,             0.10043,             0.04255,            0.055413,            0.010653,            0.041667,           0.0024227,           0.0017987,             0.11106,            0.064323,             0.15908,            0.009901,            0.009901,            0.009901
                   5,            0.098578,             0.04136,            0.054157,          0.00050109,            0.082143,          0.00073073,          0.00014099,                 nan,                 nan,             0.66231,            0.009868,            0.009868,            0.009868
                   6,            0.098354,            0.039634,            0.052661,          0.00074741,            0.072114,          0.00067824,          0.00014439,                 nan,                 nan,             0.35641,            0.009835,            0.009835,            0.009835
                   7,            0.096795,            0.038434,            0.050589,          0.00069015,            0.085498,          0.00082417,          0.00016498,                 nan,                 nan,             0.14985,            0.009802,            0.009802,            0.009802
                   8,            0.096839,             0.03809,            0.048275,             0.71529,            0.012987,          0.00075403,           0.0001865,             0.10952,            0.060511,            0.074896,            0.009769,            0.009769,            0.009769
                   9,            0.096951,            0.038157,            0.046951,           0.0021872,             0.16578,           0.0024045,            0.000665,                 nan,                 nan,            0.055816,            0.009736,            0.009736,            0.009736
                  10,            0.096553,             0.03999,            0.045032,           0.0017046,             0.13817,            0.010165,           0.0025142,             0.10562,            0.029629,            0.050209,            0.009703,            0.009703,            0.009703
                  11,            0.096128,            0.037909,            0.043748,            0.001706,             0.16068,            0.015662,           0.0037095,             0.10714,            0.029395,            0.048881,             0.00967,             0.00967,             0.00967
                  12,            0.096578,            0.036941,            0.041591,            0.001942,             0.13754,           0.0016251,          0.00051686,             0.10476,             0.03065,              0.0448,            0.009637,            0.009637,            0.009637
                  13,            0.096555,            0.039428,            0.041389,           0.0015205,             0.13992,           0.0013312,          0.00023203,             0.10188,            0.032323,            0.043515,            0.009604,            0.009604,            0.009604
                  14,            0.095713,            0.038623,            0.040088,            0.002669,             0.13256,           0.0019131,           0.0006787,            0.099458,             0.03344,            0.041564,            0.009571,            0.009571,            0.009571
                  15,            0.095375,            0.038144,            0.039657,           0.0016256,             0.11447,           0.0015406,          0.00047514,            0.098547,            0.033819,            0.040617,            0.009538,            0.009538,            0.009538
                  16,            0.094231,            0.038611,            0.038957,           0.0055781,             0.21039,           0.0051019,           0.0019792,            0.096705,            0.034396,            0.039417,            0.009505,            0.009505,            0.009505
                  17,            0.094299,            0.039205,            0.037909,          0.00030326,            0.053247,          0.00027918,          7.5601e-05,             0.10241,            0.046824,            0.067818,            0.009472,            0.009472,            0.009472
                  18,            0.093753,            0.037866,            0.037773,          6.5805e-06,            0.012987,          4.8416e-06,          1.4525e-06,             0.13574,            0.019852,            0.071261,            0.009439,            0.009439,            0.009439
