               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10128,            0.042737,             0.05684,           0.0008944,             0.19881,            0.001871,          0.00060756,            0.097441,            0.034632,             0.05556,            0.070484,           0.0032796,           0.0032796
                   1,            0.097641,            0.042454,             0.05622,          0.00091718,             0.17489,           0.0014583,          0.00031809,            0.097219,            0.033994,            0.055855,            0.040462,           0.0065911,           0.0065911
                   2,            0.094262,            0.042735,            0.055111,             0.28639,           0.0035714,          0.00044023,          0.00012272,             0.10335,            0.049929,             0.12581,            0.010418,           0.0098806,           0.0098806
                   3,            0.092701,            0.042142,            0.053192,           0.0004712,            0.094048,          0.00043742,           0.0001056,                 nan,                 nan,            0.079144,            0.009901,            0.009901,            0.009901
                   4,             0.09181,            0.041452,            0.049502,           0.0021079,             0.12002,           0.0019289,          0.00079623,             0.09623,            0.030519,            0.048745,            0.009901,            0.009901,            0.009901
                   5,            0.089991,             0.04147,            0.046254,           0.0014666,             0.12002,           0.0015879,           0.0005615,            0.096679,            0.030239,            0.046004,            0.009868,            0.009868,            0.009868
                   6,            0.089603,            0.040425,            0.043846,           0.0010633,              0.1487,           0.0017962,          0.00048649,            0.097188,            0.030389,            0.043818,            0.009835,            0.009835,            0.009835
                   7,            0.088633,             0.04146,            0.042265,           0.0010793,              0.1368,          0.00098545,          0.00039003,            0.096524,            0.031212,             0.04202,            0.009802,            0.009802,            0.009802
                   8,              0.0883,            0.041871,            0.041737,           0.0012917,             0.13146,           0.0012524,          0.00039953,             0.12346,            0.028426,             0.10817,            0.009769,            0.009769,            0.009769
                   9,            0.086368,            0.043088,             0.04089,           0.0017379,             0.18979,           0.0039754,           0.0019363,            0.099268,            0.031236,            0.044095,            0.009736,            0.009736,            0.009736
                  10,            0.083504,            0.042591,            0.039902,           0.0021899,             0.32648,           0.0046329,           0.0014468,             0.10201,            0.031612,            0.045495,            0.009703,            0.009703,            0.009703
                  11,            0.081804,            0.042995,            0.038036,          0.00081206,             0.20584,            0.015187,           0.0031562,             0.10238,            0.035093,            0.057066,             0.00967,             0.00967,             0.00967
                  12,            0.079698,            0.044198,            0.036175,             0.58118,            0.012987,           0.0085731,           0.0011366,             0.10028,            0.036781,            0.059633,            0.009637,            0.009637,            0.009637
                  13,            0.076418,            0.045543,            0.034955,           0.0032005,             0.38963,            0.011162,           0.0029785,            0.088004,            0.034815,            0.044747,            0.009604,            0.009604,            0.009604
