               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10473,             0.04358,            0.057312,          8.3935e-05,            0.010714,          6.8755e-05,          9.8338e-06,             0.10118,            0.036176,            0.055642,              0.0766,              0.0026,              0.0026
                   1,              0.1029,            0.041835,            0.056654,          0.00014126,            0.021429,          9.5155e-05,          2.1225e-05,              0.1007,            0.035983,            0.055506,            0.052283,           0.0052825,           0.0052825
                   2,             0.10169,            0.041364,            0.056256,          0.00012296,            0.017857,          7.1649e-05,          1.6773e-05,             0.10033,            0.035489,            0.055392,            0.027947,           0.0079472,           0.0079472
                   3,             0.10012,            0.042338,            0.055291,           0.0012387,            0.062987,          0.00082142,          0.00020995,             0.10133,            0.035352,            0.055004,            0.009901,            0.009901,            0.009901
                   4,            0.098539,            0.041764,            0.054196,          0.00081356,            0.074603,          0.00049045,          0.00019625,             0.10788,            0.064527,             0.10622,            0.009901,            0.009901,            0.009901
                   5,            0.097782,            0.040434,            0.052636,             0.43423,            0.012987,           0.0015379,          0.00035906,                 nan,                 nan,            0.085674,            0.009868,            0.009868,            0.009868
                   6,            0.097519,            0.039176,            0.051242,          0.00093229,             0.08658,          0.00060051,          0.00014233,             0.10876,            0.066491,            0.068295,            0.009835,            0.009835,            0.009835
                   7,            0.096356,            0.038161,            0.049092,           0.0020319,             0.10126,           0.0051939,           0.0012154,             0.10489,            0.032698,             0.05708,            0.009802,            0.009802,            0.009802
                   8,            0.096495,            0.038038,            0.047326,           0.0011109,             0.11317,          0.00076688,          0.00021209,             0.10322,            0.033866,            0.048735,            0.009769,            0.009769,            0.009769
                   9,            0.096148,            0.038489,            0.045973,           0.0021433,             0.15846,            0.002372,          0.00068338,            0.098824,            0.032382,            0.045491,            0.009736,            0.009736,            0.009736
                  10,            0.095601,             0.04036,            0.044264,           0.0038338,             0.26499,             0.00875,           0.0022815,            0.098405,             0.03255,            0.044078,            0.009703,            0.009703,            0.009703
                  11,            0.094315,            0.038558,            0.043022,           0.0036851,             0.32247,            0.030548,           0.0086688,              0.1017,            0.031049,            0.048314,             0.00967,             0.00967,             0.00967
                  12,            0.094286,            0.037614,            0.040615,           0.0029069,             0.34033,           0.0081212,           0.0033085,              0.0952,            0.033951,            0.042109,            0.009637,            0.009637,            0.009637
                  13,            0.093255,            0.040283,             0.03962,           0.0031107,              0.3294,            0.009432,           0.0034899,              0.1003,            0.033338,            0.046317,            0.009604,            0.009604,            0.009604
                  14,            0.092096,            0.039567,            0.037807,           0.0047782,             0.36898,           0.0077582,           0.0029653,             0.09533,            0.033971,            0.038021,            0.009571,            0.009571,            0.009571
                  15,            0.090711,            0.039189,            0.036997,           0.0093261,              0.3732,            0.016712,           0.0041581,             0.09152,            0.036395,            0.036323,            0.009538,            0.009538,            0.009538
                  16,            0.088735,            0.039961,            0.035851,           0.0016701,             0.24986,           0.0027102,          0.00092334,             0.10211,            0.044276,            0.051494,            0.009505,            0.009505,            0.009505
                  17,            0.088237,            0.040534,            0.034595,           0.0009694,             0.12439,          0.00064601,          0.00011117,             0.10553,            0.052971,            0.061783,            0.009472,            0.009472,            0.009472
                  18,            0.087504,             0.03946,            0.034437,               0.287,            0.021825,           0.0010357,          0.00023865,             0.13156,            0.032289,            0.076441,            0.009439,            0.009439,            0.009439
                  19,            0.086902,            0.039788,            0.033764,           0.0036633,             0.38157,             0.02087,           0.0076956,            0.093268,            0.035609,            0.035084,            0.009406,            0.009406,            0.009406
                  20,            0.085896,            0.041125,            0.033531,             0.30483,             0.14571,            0.032996,           0.0094272,            0.088591,            0.039324,            0.033954,            0.009373,            0.009373,            0.009373
                  21,             0.08524,            0.040018,            0.032988,           0.0080443,             0.49694,            0.021517,            0.007901,            0.094675,             0.03996,            0.042013,             0.00934,             0.00934,             0.00934
                  22,            0.083286,            0.041828,            0.032294,             0.30063,             0.37229,            0.053349,            0.017273,            0.084629,            0.039853,            0.030728,            0.009307,            0.009307,            0.009307
                  23,            0.082036,            0.042034,            0.032123,          0.00057165,            0.091558,           0.0025734,          0.00073835,             0.10838,            0.072866,            0.070966,            0.009274,            0.009274,            0.009274
                  24,            0.080831,            0.041429,            0.031496,             0.29908,             0.19286,            0.017252,           0.0059732,            0.096844,            0.038968,            0.051483,            0.009241,            0.009241,            0.009241
                  25,             0.07999,            0.041089,            0.030331,             0.31358,             0.37042,            0.096729,            0.019246,            0.081717,            0.040382,            0.030343,            0.009208,            0.009208,            0.009208
                  26,            0.080087,            0.040807,            0.030385,             0.39862,             0.15861,             0.12381,            0.038497,            0.081732,            0.039655,            0.029603,            0.009175,            0.009175,            0.009175
