               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10311,            0.029945,            0.034243,           0.0016195,             0.26429,           0.0022635,          0.00072954,            0.097489,            0.024483,            0.033404,            0.070484,           0.0032796,           0.0032796
                   1,             0.10053,            0.029466,            0.033962,           0.0010568,             0.15357,          0.00096137,          0.00027605,            0.096951,            0.023842,            0.033338,            0.040464,           0.0065931,           0.0065931
                   2,            0.097901,            0.028868,            0.033335,          0.00094734,             0.16151,          0.00093781,          0.00037391,                 nan,                 nan,            0.070513,            0.010424,           0.0098866,           0.0098866
                   3,            0.095633,            0.028864,            0.032159,          0.00044899,             0.11429,           0.0004614,           0.0001469,             0.09997,            0.030585,            0.039539,             0.00991,             0.00991,             0.00991
                   4,            0.094537,            0.027544,            0.031031,          0.00018336,            0.059524,          0.00026331,          4.7461e-05,            0.096688,             0.02284,             0.03105,             0.00991,             0.00991,             0.00991
                   5,            0.093789,            0.027551,             0.02998,          0.00026432,            0.063095,          0.00019999,          7.2181e-05,            0.097006,            0.021065,            0.030236,             0.00988,             0.00988,             0.00988
                   6,                 nan,                 nan,            0.029435,          0.00033539,            0.084524,          0.00031667,          8.0611e-05,            0.097719,            0.021114,            0.029728,             0.00985,             0.00985,             0.00985
                   7,            0.093536,            0.027391,            0.028739,          0.00029047,            0.096429,          0.00023012,          6.3488e-05,            0.097576,            0.020562,            0.028937,             0.00982,             0.00982,             0.00982
                   8,            0.092133,            0.027993,            0.028045,          0.00034781,             0.10952,          0.00039682,          9.7543e-05,            0.096596,            0.021197,             0.02798,             0.00979,             0.00979,             0.00979
                   9,            0.091398,            0.028258,             0.02741,           0.0013581,             0.15942,           0.0009247,          0.00018488,            0.096493,             0.02155,            0.027164,             0.00976,             0.00976,             0.00976
                  10,            0.090794,            0.028584,            0.026764,             0.00207,             0.17103,            0.019775,           0.0025255,            0.093832,             0.02242,            0.026652,             0.00973,             0.00973,             0.00973
                  11,            0.088533,             0.02905,            0.026135,           0.0028559,             0.18918,           0.0036597,           0.0015497,            0.093724,            0.023027,            0.025391,              0.0097,              0.0097,              0.0097
                  12,            0.086271,            0.029869,            0.025764,           0.0020834,             0.25653,           0.0029515,          0.00084528,            0.092243,            0.022997,            0.026203,             0.00967,             0.00967,             0.00967
                  13,            0.084517,            0.028912,            0.024925,           0.0073528,             0.30823,           0.0094387,           0.0028226,            0.086139,            0.024989,            0.024479,             0.00964,             0.00964,             0.00964
                  14,            0.082647,             0.02932,            0.024915,           0.0016192,             0.27262,           0.0064427,           0.0015197,            0.084683,            0.025576,            0.024274,             0.00961,             0.00961,             0.00961
                  15,            0.079914,            0.030344,            0.024562,           0.0024399,             0.30126,           0.0068452,           0.0018423,            0.083881,            0.025905,            0.023567,             0.00958,             0.00958,             0.00958
                  16,             0.07674,            0.030199,            0.024203,            0.004044,             0.34467,           0.0082923,           0.0025844,            0.081624,            0.026141,            0.022958,             0.00955,             0.00955,             0.00955
                  17,            0.074766,            0.030698,            0.023851,           0.0044585,             0.41386,            0.010816,           0.0037761,             0.07952,            0.025939,             0.02289,             0.00952,             0.00952,             0.00952
                  18,            0.073226,            0.031254,            0.023451,           0.0098406,             0.32331,            0.022312,           0.0087156,            0.081411,            0.029485,            0.024083,             0.00949,             0.00949,             0.00949
                  19,            0.070618,            0.031501,            0.022912,           0.0097658,             0.30743,            0.015161,           0.0048381,            0.080301,            0.028734,            0.022943,             0.00946,             0.00946,             0.00946
                  20,             0.06898,             0.03131,            0.022229,            0.034822,             0.63387,            0.058521,            0.023389,            0.074926,            0.027119,            0.021085,             0.00943,             0.00943,             0.00943
                  21,             0.06727,            0.030831,            0.021216,             0.32754,             0.14536,            0.022145,           0.0081639,            0.082794,            0.037971,            0.027918,              0.0094,              0.0094,              0.0094
                  22,            0.065936,            0.031127,            0.021383,            0.010541,             0.22291,            0.010298,           0.0016181,            0.085362,            0.041649,             0.03149,             0.00937,             0.00937,             0.00937
                  23,            0.065126,            0.030558,            0.020734,            0.027053,              0.6054,            0.060024,             0.02685,            0.072091,            0.029346,            0.025208,             0.00934,             0.00934,             0.00934
                  24,             0.06348,            0.031288,            0.020228,            0.045656,             0.51237,            0.081306,            0.033968,            0.074612,            0.030447,            0.024854,             0.00931,             0.00931,             0.00931
                  25,            0.062849,            0.031195,            0.020125,             0.26083,             0.19591,            0.086827,            0.030276,            0.076299,            0.039047,            0.024079,             0.00928,             0.00928,             0.00928
                  26,            0.061381,            0.030736,            0.020022,             0.36706,            0.097265,            0.064281,            0.026304,            0.071891,            0.026949,            0.023009,             0.00925,             0.00925,             0.00925
                  27,            0.060727,            0.030415,            0.019247,            0.037504,             0.17514,            0.045805,            0.021186,            0.075374,            0.026005,            0.028832,             0.00922,             0.00922,             0.00922
                  28,            0.060738,            0.030872,            0.019165,            0.074736,             0.52239,             0.12514,            0.048771,            0.068076,            0.031832,             0.02588,             0.00919,             0.00919,             0.00919
                  29,            0.058732,            0.029952,            0.018858,             0.42335,             0.11741,            0.092721,            0.043698,            0.073935,            0.031881,            0.024979,             0.00916,             0.00916,             0.00916
                  30,            0.058495,            0.029374,            0.018583,             0.14191,             0.24538,             0.12463,            0.053834,            0.069332,            0.026197,            0.024027,             0.00913,             0.00913,             0.00913
                  31,            0.057335,            0.030539,            0.018244,             0.20497,              0.2181,             0.23562,            0.097945,            0.066458,            0.026641,            0.017729,              0.0091,              0.0091,              0.0091
                  32,            0.057832,             0.02968,            0.018261,             0.13287,             0.23026,             0.14769,            0.066477,            0.071082,            0.028827,            0.028795,             0.00907,             0.00907,             0.00907
                  33,            0.056886,            0.029235,            0.017898,             0.32122,             0.32155,             0.23261,            0.098396,             0.06414,            0.025138,            0.015892,             0.00904,             0.00904,             0.00904
                  34,            0.056291,             0.02977,             0.01761,             0.29965,             0.34047,             0.28693,             0.10612,            0.066507,            0.025651,            0.022903,             0.00901,             0.00901,             0.00901
                  35,            0.056186,            0.029321,             0.01763,             0.27267,             0.33171,              0.2581,             0.09405,            0.063846,            0.026248,            0.019779,             0.00898,             0.00898,             0.00898
                  36,            0.054876,             0.02879,            0.016961,             0.14674,              0.2419,             0.20739,            0.097591,            0.067048,            0.026722,            0.022187,             0.00895,             0.00895,             0.00895
                  37,            0.054596,            0.028824,            0.016984,             0.35188,             0.36578,             0.34907,             0.15332,            0.061785,            0.025402,             0.01642,             0.00892,             0.00892,             0.00892
                  38,            0.054788,            0.029109,            0.016511,             0.24263,             0.33097,             0.21115,            0.095929,            0.066036,            0.024949,            0.026048,             0.00889,             0.00889,             0.00889
                  39,            0.053067,            0.029264,            0.016482,              0.1505,             0.31042,             0.16648,            0.062384,            0.066958,            0.027728,            0.026107,             0.00886,             0.00886,             0.00886
                  40,            0.053177,            0.029813,             0.01632,             0.36698,             0.38708,             0.34549,             0.18348,             0.06061,            0.025939,             0.01638,             0.00883,             0.00883,             0.00883
                  41,            0.052464,            0.028054,            0.016067,              0.1955,             0.23818,             0.18754,            0.085815,            0.064081,            0.025562,            0.023021,              0.0088,              0.0088,              0.0088
                  42,            0.053357,             0.02844,            0.015761,             0.35636,             0.36996,             0.37296,              0.1693,            0.058089,            0.025961,            0.016518,             0.00877,             0.00877,             0.00877
