               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10465,            0.043516,            0.057308,          0.00083675,            0.057143,          0.00053517,          0.00013485,             0.10121,             0.03642,            0.055631,              0.0766,              0.0026,              0.0026
                   1,             0.10313,            0.041859,            0.056671,           0.0001734,            0.028571,           0.0001655,          3.3077e-05,             0.10073,            0.036349,             0.05551,            0.052283,           0.0052825,           0.0052825
                   2,             0.10183,            0.041419,            0.056244,          0.00013277,            0.021429,          8.7175e-05,          1.6302e-05,             0.10038,            0.035629,            0.055389,            0.027947,           0.0079472,           0.0079472
                   3,            0.099913,            0.042518,             0.05543,          0.00064225,            0.036508,           0.0003702,          0.00016177,             0.10381,             0.03451,             0.05833,            0.009901,            0.009901,            0.009901
                   4,            0.098389,            0.042019,            0.054554,           0.0075266,           0.0019841,          0.00063759,           0.0002458,                 nan,                 nan,             0.12022,            0.009901,            0.009901,            0.009901
                   5,            0.097541,            0.040631,            0.052783,          0.00081402,           0.0079365,          0.00034217,          9.5488e-05,                 nan,                 nan,              0.1604,            0.009868,            0.009868,            0.009868
                   6,            0.096959,            0.039345,            0.051066,           0.0007813,            0.075219,          0.00070216,          0.00013053,             0.11077,             0.11105,            0.091178,            0.009835,            0.009835,            0.009835
                   7,            0.095971,            0.038179,            0.048932,             0.42928,            0.025974,           0.0012353,          0.00026607,              0.1083,            0.031272,            0.057479,            0.009802,            0.009802,            0.009802
                   8,            0.095205,            0.038568,             0.04658,           0.0014141,             0.14712,           0.0016366,          0.00047233,             0.10719,            0.030557,             0.05327,            0.009769,            0.009769,            0.009769
                   9,            0.095151,            0.038823,            0.045105,           0.0019611,             0.15512,           0.0027909,          0.00071767,            0.097857,             0.03356,            0.046912,            0.009736,            0.009736,            0.009736
                  10,             0.09443,            0.040853,            0.043293,           0.0019849,             0.17036,           0.0022773,          0.00070172,            0.097331,            0.033607,            0.044387,            0.009703,            0.009703,            0.009703
                  11,            0.093201,            0.039066,            0.041826,           0.0022188,             0.11407,           0.0017128,          0.00054938,            0.096492,            0.033894,            0.042219,             0.00967,             0.00967,             0.00967
                  12,            0.093252,             0.03797,            0.039853,             0.01663,              0.3189,             0.02196,           0.0072318,            0.094689,            0.034821,            0.040161,            0.009637,            0.009637,            0.009637
                  13,            0.092023,            0.040919,            0.039107,           0.0081166,             0.35083,            0.015909,           0.0042552,            0.092061,            0.036189,            0.037676,            0.009604,            0.009604,            0.009604
                  14,            0.090256,            0.040375,            0.037457,          0.00094087,             0.15069,           0.0046537,          0.00058455,             0.10101,            0.037697,            0.049059,            0.009571,            0.009571,            0.009571
                  15,            0.089388,            0.039821,            0.037048,            0.016914,             0.25391,            0.016805,           0.0082317,            0.093526,            0.036041,            0.038849,            0.009538,            0.009538,            0.009538
                  16,             0.08692,             0.04071,            0.035936,            0.011035,             0.43562,            0.026667,           0.0054629,            0.090955,            0.038757,            0.037295,            0.009505,            0.009505,            0.009505
                  17,            0.086058,            0.041248,             0.03438,             0.00742,             0.44497,            0.037311,           0.0094709,            0.089997,             0.03993,            0.035816,            0.009472,            0.009472,            0.009472
                  18,            0.085202,            0.040219,            0.033659,           0.0077121,             0.50403,            0.059573,             0.02359,            0.085898,             0.03876,             0.03254,            0.009439,            0.009439,            0.009439
                  19,             0.08479,            0.040317,            0.033148,          0.00015541,            0.060714,          0.00013395,          3.1933e-05,             0.10828,            0.038272,            0.063855,            0.009406,            0.009406,            0.009406
                  20,            0.083713,            0.041686,            0.032942,          0.00015583,            0.058117,          0.00020384,          4.0771e-05,             0.10917,            0.048136,             0.06837,            0.009373,            0.009373,            0.009373
                  21,            0.083841,            0.040325,            0.032468,             0.14325,            0.071429,           0.0026046,          0.00062121,             0.10362,            0.056913,            0.067423,             0.00934,             0.00934,             0.00934
                  22,            0.081798,            0.041935,            0.031981,             0.14927,            0.097511,           0.0057433,           0.0013482,            0.097604,            0.057035,            0.057497,            0.009307,            0.009307,            0.009307
                  23,            0.080645,             0.04209,            0.031563,          0.00059835,            0.085714,           0.0029389,          0.00058727,             0.10502,             0.05014,            0.066444,            0.009274,            0.009274,            0.009274
                  24,             0.08014,            0.041089,            0.030749,          0.00029163,            0.077165,          0.00016646,          3.3094e-05,              0.1157,            0.072997,            0.084495,            0.009241,            0.009241,            0.009241
                  25,            0.078293,            0.041047,            0.029853,             0.52737,             0.11486,            0.098683,            0.027837,            0.081145,             0.04243,            0.029573,            0.009208,            0.009208,            0.009208
                  26,            0.078142,            0.040924,            0.029744,           0.0062435,             0.19757,            0.010331,            0.002885,            0.091434,            0.049952,            0.044074,            0.009175,            0.009175,            0.009175
                  27,            0.075798,             0.04029,            0.029261,             0.32732,             0.20256,            0.085016,            0.031864,            0.079789,            0.043966,            0.028202,            0.009142,            0.009142,            0.009142
                  28,            0.076148,            0.041666,            0.029283,          0.00041404,            0.066234,          0.00025197,          6.0607e-05,             0.10425,            0.057409,             0.07496,            0.009109,            0.009109,            0.009109
                  29,            0.076043,            0.042604,            0.027967,          0.00012716,             0.04026,          0.00012251,          5.5789e-05,             0.10787,            0.050631,            0.069965,            0.009076,            0.009076,            0.009076
                  30,            0.074217,            0.040938,            0.028074,          3.8067e-05,            0.064935,          2.9573e-05,          9.2142e-06,             0.10619,            0.036985,             0.08028,            0.009043,            0.009043,            0.009043
                  31,            0.074503,            0.041314,            0.026323,              0.4954,            0.014971,            0.010678,           0.0039046,            0.099303,            0.034337,            0.043504,             0.00901,             0.00901,             0.00901
                  32,            0.072275,            0.041127,            0.027362,           0.0023822,             0.14764,           0.0045876,           0.0015615,            0.095208,            0.036593,            0.040749,            0.008977,            0.008977,            0.008977
                  33,            0.071253,            0.042362,            0.025708,             0.28761,             0.11489,            0.078007,            0.032069,            0.078591,            0.039922,            0.029136,            0.008944,            0.008944,            0.008944
