               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.099491,            0.042873,            0.056903,          0.00063839,              0.1254,           0.0007412,           0.0002274,            0.095868,            0.035263,            0.054449,            0.070484,           0.0032796,           0.0032796
                   1,            0.093782,            0.042169,             0.05493,          0.00081654,             0.11389,          0.00060394,          0.00014556,             0.10151,            0.032455,            0.059227,            0.040462,           0.0065911,           0.0065911
                   2,             0.09223,            0.041651,            0.052984,          0.00053869,            0.089286,           0.0004963,          0.00013603,              0.1016,             0.03179,            0.061862,            0.010418,           0.0098806,           0.0098806
                   3,            0.091101,            0.041851,            0.051322,          0.00047895,            0.082143,          0.00041444,          0.00011866,             0.10069,            0.032598,            0.060559,            0.009901,            0.009901,            0.009901
                   4,             0.09057,            0.041769,            0.049423,            0.001355,             0.09513,            0.001529,          0.00043999,            0.098424,            0.030795,            0.050294,            0.009901,            0.009901,            0.009901
                   5,            0.090153,            0.041356,            0.047156,            0.000793,            0.098701,           0.0029026,           0.0013441,            0.098086,            0.029892,             0.04731,            0.009868,            0.009868,            0.009868
                   6,            0.090775,            0.040125,            0.045227,           0.0012516,             0.12597,           0.0043405,           0.0023276,            0.097348,            0.030104,            0.045203,            0.009835,            0.009835,            0.009835
                   7,            0.089822,            0.041246,            0.043758,           0.0012941,             0.12121,           0.0019604,          0.00087591,            0.097816,            0.030071,            0.043871,            0.009802,            0.009802,            0.009802
                   8,            0.089871,            0.041696,             0.04311,           0.0008451,             0.10346,           0.0019089,          0.00088799,            0.096344,            0.030863,            0.042782,            0.009769,            0.009769,            0.009769
                   9,            0.089034,            0.042628,             0.04189,           0.0016624,             0.14394,           0.0013733,          0.00020682,              0.1008,            0.029778,            0.048799,            0.009736,            0.009736,            0.009736
                  10,            0.088374,            0.041516,            0.041604,           0.0052614,             0.12955,           0.0044841,           0.0011916,            0.096469,            0.031511,            0.041694,            0.009703,            0.009703,            0.009703
                  11,            0.088003,            0.041434,            0.040986,           0.0031542,             0.15703,           0.0037919,           0.0011861,            0.095767,            0.031329,            0.041327,             0.00967,             0.00967,             0.00967
                  12,            0.086891,            0.042267,            0.040079,          0.00080797,             0.28323,           0.0090233,           0.0021309,            0.098838,            0.034367,            0.045459,            0.009637,            0.009637,            0.009637
                  13,             0.08532,             0.04329,            0.039597,           0.0040717,             0.18589,           0.0069095,           0.0016698,            0.094667,            0.032294,            0.039556,            0.009604,            0.009604,            0.009604
                  14,            0.084585,            0.042592,            0.038981,            0.005149,             0.29751,           0.0099211,           0.0018733,             0.09861,            0.032641,            0.044747,            0.009571,            0.009571,            0.009571
                  15,            0.082912,            0.043046,             0.03857,           0.0024335,            0.077165,           0.0027455,          0.00064705,             0.10074,            0.031569,            0.040807,            0.009538,            0.009538,            0.009538
                  16,             0.08179,            0.043259,            0.038445,           0.0035682,              0.3428,           0.0057968,           0.0015866,            0.094496,            0.033442,            0.042985,            0.009505,            0.009505,            0.009505
                  17,            0.079621,            0.043665,            0.037069,           0.0040848,             0.18817,            0.007667,           0.0019352,            0.092845,            0.033799,            0.037758,            0.009472,            0.009472,            0.009472
                  18,            0.076302,            0.045284,            0.036468,           0.0050239,             0.26787,           0.0075749,           0.0021455,            0.090556,             0.03257,            0.043791,            0.009439,            0.009439,            0.009439
                  19,            0.074144,            0.047865,             0.03598,             0.16275,             0.10952,             0.02409,           0.0060721,            0.090186,            0.039604,            0.048838,            0.009406,            0.009406,            0.009406
