               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1037,            0.044175,            0.056855,           0.0014032,             0.22381,            0.001379,          0.00040418,            0.099562,            0.036105,            0.054566,              0.0766,              0.0026,              0.0026
                   1,             0.10059,            0.041502,            0.055666,           0.0011095,             0.20278,           0.0010853,          0.00028839,            0.099069,            0.036303,             0.05379,            0.052283,           0.0052825,           0.0052825
                   2,            0.098254,            0.041078,            0.054429,          0.00079841,             0.13175,          0.00089641,           0.0002479,            0.099144,            0.035599,            0.053249,            0.027947,           0.0079472,           0.0079472
                   3,            0.096688,            0.041893,            0.053277,          0.00086739,              0.1068,          0.00074673,          0.00026452,             0.10131,            0.035207,            0.054104,            0.009901,            0.009901,            0.009901
                   4,            0.096377,            0.041347,            0.052466,          0.00070678,             0.11944,          0.00073886,          0.00017125,             0.10196,            0.033978,            0.052541,            0.009901,            0.009901,            0.009901
                   5,            0.095928,            0.040373,            0.051148,          0.00097566,            0.096429,          0.00077562,          0.00016593,             0.10023,             0.03435,            0.051074,            0.009868,            0.009868,            0.009868
                   6,            0.095557,            0.039605,            0.050219,           0.0015518,             0.10839,           0.0011627,          0.00033776,             0.10114,            0.034037,            0.049799,            0.009835,            0.009835,            0.009835
                   7,            0.094626,            0.038678,            0.048624,          0.00060656,            0.090476,          0.00052511,          0.00013027,             0.10197,            0.033079,            0.049101,            0.009802,            0.009802,            0.009802
                   8,            0.094639,            0.038827,            0.047492,            0.001293,             0.09688,           0.0010041,           0.0002361,              0.1003,            0.034084,            0.047716,            0.009769,            0.009769,            0.009769
                   9,            0.094682,            0.039102,            0.046376,          0.00061491,            0.088492,          0.00046554,          0.00014264,            0.099058,            0.033216,            0.046566,            0.009736,            0.009736,            0.009736
                  10,            0.094236,            0.041066,            0.045277,           0.0018642,             0.11656,           0.0015102,          0.00048925,            0.098832,            0.032641,            0.045982,            0.009703,            0.009703,            0.009703
                  11,            0.093763,            0.039075,            0.044203,           0.0017264,            0.098359,           0.0013747,          0.00024547,            0.099934,            0.032267,            0.045121,             0.00967,             0.00967,             0.00967
                  12,            0.093888,            0.038238,            0.042483,           0.0019007,             0.13238,           0.0013094,          0.00044964,             0.09945,            0.032595,            0.043693,            0.009637,            0.009637,            0.009637
                  13,            0.094118,            0.040496,            0.042307,           0.0019471,             0.15319,           0.0026122,          0.00057073,            0.099389,            0.032613,            0.042874,            0.009604,            0.009604,            0.009604
                  14,            0.093306,             0.03979,            0.041073,           0.0016494,             0.20877,           0.0058802,           0.0013185,            0.098316,            0.033498,            0.041144,            0.009571,            0.009571,            0.009571
                  15,            0.093144,            0.039164,             0.04059,           0.0099583,             0.21006,            0.014695,           0.0052074,            0.097766,             0.03392,            0.040442,            0.009538,            0.009538,            0.009538
                  16,            0.091746,            0.039838,             0.03974,            0.027397,              0.2451,            0.039945,            0.018893,             0.09808,            0.033371,            0.041019,            0.009505,            0.009505,            0.009505
                  17,            0.091885,            0.040373,            0.038927,           0.0013984,            0.054942,           0.0028413,          0.00029291,             0.11077,            0.030599,            0.053616,            0.009472,            0.009472,            0.009472
                  18,            0.091556,            0.039082,            0.038946,          0.00082394,             0.11843,          0.00083387,          0.00016075,             0.10032,            0.033885,            0.047139,            0.009439,            0.009439,            0.009439
