               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10386,            0.044102,            0.056935,           0.0011147,             0.14643,           0.0012407,          0.00031272,            0.099577,            0.036092,            0.054598,              0.0766,              0.0026,              0.0026
                   1,             0.10056,            0.041639,            0.055555,          0.00086054,             0.15079,           0.0010065,          0.00026361,            0.099111,            0.036214,            0.053879,            0.052283,           0.0052825,           0.0052825
                   2,            0.098513,              0.0411,            0.054792,          0.00073446,             0.11944,          0.00068512,          0.00017437,             0.09907,             0.03555,            0.053352,            0.027947,           0.0079472,           0.0079472
                   3,            0.097174,            0.041817,            0.053598,           0.0027791,             0.11338,           0.0018086,          0.00052965,             0.10429,            0.033845,            0.060249,            0.009901,            0.009901,            0.009901
                   4,            0.096776,            0.041361,            0.052646,          0.00073384,            0.079365,          0.00048669,          0.00012167,             0.10612,            0.033148,             0.06826,            0.009901,            0.009901,            0.009901
                   5,            0.096411,            0.040377,            0.051363,             0.28725,           0.0035714,          0.00059411,           0.0001255,              0.1075,            0.035322,            0.064674,            0.009868,            0.009868,            0.009868
                   6,            0.095956,            0.039692,            0.050568,             0.57534,           0.0035714,           0.0008225,          0.00025238,             0.10456,             0.03533,            0.053335,            0.009835,            0.009835,            0.009835
                   7,            0.095031,            0.038794,            0.049372,          0.00047325,            0.055159,          0.00035332,          9.7332e-05,             0.10122,            0.034431,            0.050878,            0.009802,            0.009802,            0.009802
                   8,            0.094836,            0.038933,            0.048291,          0.00039588,            0.055159,          0.00026304,          8.4591e-05,             0.10109,             0.03407,            0.049073,            0.009769,            0.009769,            0.009769
                   9,            0.095198,             0.03899,            0.047368,          0.00094493,             0.07188,          0.00062586,          0.00017176,            0.099117,             0.03494,            0.046249,            0.009736,            0.009736,            0.009736
                  10,            0.094402,            0.041098,              0.0459,           0.0023677,             0.10209,           0.0014161,          0.00033107,             0.09693,            0.033681,            0.045288,            0.009703,            0.009703,            0.009703
                  11,            0.093452,            0.039239,            0.044573,           0.0018333,             0.10426,           0.0011706,          0.00022396,            0.097382,            0.033618,            0.045078,             0.00967,             0.00967,             0.00967
                  12,            0.093722,            0.038211,            0.042919,           0.0013228,             0.14473,           0.0012709,          0.00042593,            0.096534,            0.033658,            0.043579,            0.009637,            0.009637,            0.009637
                  13,            0.093369,            0.040792,            0.042518,           0.0041644,             0.15749,           0.0029895,           0.0012312,            0.096742,            0.033587,            0.043444,            0.009604,            0.009604,            0.009604
