               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10533,            0.029262,            0.034528,           0.0017893,             0.24711,           0.0019584,          0.00079765,            0.098216,            0.024237,            0.033436,            0.070484,           0.0032796,           0.0032796
                   1,             0.10438,            0.029011,            0.034487,           0.0014086,             0.28532,           0.0024646,          0.00080426,            0.098545,            0.024063,             0.03365,            0.040464,           0.0065931,           0.0065931
                   2,             0.10278,            0.028447,            0.034393,           0.0014313,             0.26468,           0.0029723,           0.0011228,                 nan,                 nan,             0.14427,            0.010424,           0.0098866,           0.0098866
                   3,            0.099263,            0.029099,            0.033569,           0.0012072,           0.0071429,          0.00074751,          0.00020094,                 nan,                 nan,             0.63924,             0.00991,             0.00991,             0.00991
                   4,            0.095443,            0.028144,            0.032648,           0.0028936,            0.091558,           0.0017076,          0.00035598,            0.096104,            0.023167,            0.032073,             0.00991,             0.00991,             0.00991
                   5,            0.092393,            0.028216,            0.031273,           0.0042211,             0.10465,           0.0025076,          0.00051145,            0.097403,            0.022694,            0.030666,             0.00988,             0.00988,             0.00988
                   6,            0.092292,            0.028301,            0.030095,           0.0022756,             0.11407,           0.0021507,          0.00071898,            0.097575,            0.021178,             0.02929,             0.00985,             0.00985,             0.00985
                   7,             0.09218,            0.027651,            0.028779,          0.00080723,              0.1737,           0.0010264,          0.00036298,             0.10083,            0.019838,            0.029771,             0.00982,             0.00982,             0.00982
                   8,            0.091311,            0.028122,            0.027906,          0.00089926,             0.20703,             0.03822,           0.0042969,             0.10344,            0.020254,            0.029503,             0.00979,             0.00979,             0.00979
                   9,            0.091316,            0.028091,            0.027277,            0.001263,             0.15942,           0.0022992,          0.00048321,            0.097015,            0.021126,            0.027104,             0.00976,             0.00976,             0.00976
                  10,                 nan,                 nan,               0.027,           0.0022624,             0.20812,            0.016832,            0.003469,            0.095672,            0.021841,            0.026348,             0.00973,             0.00973,             0.00973
                  11,             0.08926,            0.028617,             0.02643,           0.0015206,              0.1724,           0.0022776,           0.0003854,             0.09667,            0.021328,            0.030027,              0.0097,              0.0097,              0.0097
                  12,                 nan,                 nan,            0.026219,           0.0013722,             0.23301,           0.0018995,          0.00060268,                 nan,                 nan,             0.04293,             0.00967,             0.00967,             0.00967
                  13,            0.087889,            0.027867,            0.025695,           0.0006782,              0.2881,           0.0062723,           0.0020975,            0.096659,            0.021161,            0.027747,             0.00964,             0.00964,             0.00964
                  14,                 nan,                 nan,            0.025788,           0.0011126,             0.24361,           0.0026863,          0.00069331,            0.097484,            0.023032,            0.028226,             0.00961,             0.00961,             0.00961
                  15,            0.082955,            0.029618,             0.02551,          0.00082075,             0.30108,            0.011957,           0.0036584,            0.096059,            0.022956,            0.027728,             0.00958,             0.00958,             0.00958
                  16,            0.080535,            0.029269,             0.02524,          0.00082822,             0.30952,            0.037633,            0.011774,            0.096138,            0.023803,            0.027805,             0.00955,             0.00955,             0.00955
                  17,            0.079289,            0.029865,            0.025159,           0.0029234,             0.30588,            0.013063,           0.0036974,            0.086341,            0.024344,            0.024191,             0.00952,             0.00952,             0.00952
                  18,             0.07789,            0.030462,            0.024781,           0.0044599,             0.37637,            0.031086,           0.0061743,            0.083102,            0.024686,              0.0237,             0.00949,             0.00949,             0.00949
