               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10552,            0.042878,            0.057289,          0.00096031,             0.10397,           0.0008499,          0.00023784,             0.10135,            0.036252,             0.05561,              0.0766,              0.0026,              0.0026
                   1,             0.10445,            0.042172,            0.057059,          0.00063711,            0.098413,          0.00060288,          0.00016601,             0.10129,            0.036285,            0.055567,            0.052283,           0.0052825,           0.0052825
                   2,             0.10457,            0.041581,            0.057126,          0.00044586,             0.10556,          0.00043002,          0.00011638,             0.10123,            0.036247,            0.055521,            0.027947,           0.0079472,           0.0079472
                   3,             0.10426,            0.042372,            0.056837,          0.00054885,                 0.1,          0.00050846,          0.00013636,             0.10518,            0.036392,            0.059761,            0.009901,            0.009901,            0.009901
                   4,             0.10293,            0.042263,             0.05667,          0.00082295,             0.21825,           0.0012043,          0.00049613,                 nan,                 nan,               0.165,            0.009901,            0.009901,            0.009901
                   5,             0.10116,            0.041784,            0.055683,            0.006919,            0.061851,           0.0071949,           0.0031113,             0.11217,             0.63935,             0.28625,            0.009868,            0.009868,            0.009868
                   6,            0.099458,            0.041022,            0.055162,              0.2909,            0.016558,           0.0063264,           0.0040719,              0.1087,              2.6151,             0.77168,            0.009835,            0.009835,            0.009835
                   7,            0.097416,            0.039586,            0.053374,          0.00050952,            0.065134,          0.00040669,          8.0894e-05,                 nan,                 nan,             0.18803,            0.009802,            0.009802,            0.009802
                   8,            0.096958,             0.03897,             0.05184,          0.00077555,            0.071032,          0.00059312,          0.00014078,                 nan,                 nan,            0.079824,            0.009769,            0.009769,            0.009769
                   9,             0.09743,            0.038365,            0.049341,           0.0012376,               0.075,           0.0010393,          0.00030278,                 nan,                 nan,            0.057579,            0.009736,            0.009736,            0.009736
                  10,            0.097066,             0.03997,            0.047845,          0.00046215,            0.093254,          0.00043532,           0.0001237,              0.1053,            0.029858,            0.067444,            0.009703,            0.009703,            0.009703
                  11,            0.096619,            0.037945,            0.046159,          0.00045435,            0.083333,          0.00045266,          0.00016709,             0.10512,            0.030647,            0.069509,             0.00967,             0.00967,             0.00967
                  12,             0.09682,            0.037052,            0.044448,          0.00041577,             0.09127,          0.00052198,          0.00013526,             0.10361,            0.030824,            0.047439,            0.009637,            0.009637,            0.009637
                  13,            0.096998,            0.039187,            0.043479,           0.0018314,             0.12825,           0.0016382,          0.00039257,             0.10206,            0.032382,            0.044996,            0.009604,            0.009604,            0.009604
                  14,            0.096116,            0.038553,            0.041934,           0.0016554,             0.12376,           0.0011395,          0.00033789,             0.10015,            0.032684,            0.043248,            0.009571,            0.009571,            0.009571
                  15,            0.096537,             0.03764,            0.040852,          0.00071733,             0.10119,          0.00058356,          0.00012364,            0.099028,            0.033389,             0.04176,            0.009538,            0.009538,            0.009538
                  16,            0.094799,            0.038424,            0.040283,           0.0011554,             0.15761,           0.0013102,          0.00029216,            0.098635,            0.033358,            0.040215,            0.009505,            0.009505,            0.009505
                  17,            0.095071,            0.038923,            0.039253,          0.00097322,             0.15036,           0.0075489,           0.0029843,            0.098167,            0.033089,            0.039666,            0.009472,            0.009472,            0.009472
                  18,            0.094674,            0.037699,            0.038929,            0.014371,             0.29113,            0.036384,            0.014652,             0.09722,            0.033002,            0.039154,            0.009439,            0.009439,            0.009439
                  19,             0.09413,            0.037867,            0.037969,           0.0012862,             0.25054,           0.0019906,          0.00062637,             0.11442,             0.02616,            0.048678,            0.009406,            0.009406,            0.009406
                  20,            0.094472,            0.039141,            0.038647,          4.6703e-05,            0.029545,          2.8806e-05,          7.9138e-06,             0.12193,            0.023691,            0.058864,            0.009373,            0.009373,            0.009373
                  21,            0.093657,            0.038267,            0.038304,          0.00075434,            0.025794,          0.00042688,          0.00014586,             0.11734,            0.025522,            0.052786,             0.00934,             0.00934,             0.00934
                  22,            0.092719,            0.039755,             0.03834,          0.00031535,            0.025903,          0.00017346,           7.431e-05,             0.12311,            0.023552,            0.078019,            0.009307,            0.009307,            0.009307
                  23,            0.090831,            0.039861,            0.037773,          0.00048562,            0.093543,          0.00036303,          9.3465e-05,             0.10532,            0.045741,            0.056713,            0.009274,            0.009274,            0.009274
                  24,            0.089223,            0.039789,            0.036862,          0.00055147,             0.10198,          0.00041767,          8.8514e-05,             0.10139,            0.054075,            0.056129,            0.009241,            0.009241,            0.009241
                  25,            0.088777,            0.039329,            0.036016,          0.00038207,            0.096898,          0.00024284,          7.9864e-05,             0.10294,            0.047429,            0.055175,            0.009208,            0.009208,            0.009208
                  26,            0.088381,            0.039519,            0.035389,          0.00063043,             0.10029,          0.00044131,           0.0001723,             0.10394,            0.052137,            0.055934,            0.009175,            0.009175,            0.009175
                  27,            0.086569,            0.039421,            0.035314,          0.00049027,             0.12955,          0.00040202,          0.00013642,             0.10947,            0.038823,            0.056528,            0.009142,            0.009142,            0.009142
                  28,            0.086251,            0.040932,            0.035121,           0.0012525,             0.16039,           0.0021234,          0.00052898,             0.10523,             0.04466,            0.057169,            0.009109,            0.009109,            0.009109
                  29,            0.084915,            0.042816,            0.033472,           0.0051219,             0.35667,             0.01149,           0.0024913,             0.08928,            0.037999,             0.03815,            0.009076,            0.009076,            0.009076
                  30,            0.083242,            0.041278,            0.033563,           0.0015711,             0.13351,            0.001047,           0.0002526,             0.10346,            0.059794,            0.058743,            0.009043,            0.009043,            0.009043
                  31,            0.084303,             0.04134,            0.032583,           0.0019069,             0.10714,           0.0012452,          0.00035514,             0.10256,            0.050036,            0.053135,             0.00901,             0.00901,             0.00901
                  32,            0.081807,            0.041488,            0.033008,          0.00021264,            0.074784,          0.00054557,          0.00013331,             0.10451,            0.067525,            0.066889,            0.008977,            0.008977,            0.008977
                  33,            0.080919,            0.042993,             0.03166,          9.5402e-05,             0.11255,          0.00013225,          4.6807e-05,             0.10143,            0.073514,            0.069502,            0.008944,            0.008944,            0.008944
                  34,            0.079912,             0.03972,            0.030836,              0.7185,            0.047619,            0.028548,           0.0092542,              0.1012,            0.052539,            0.054381,            0.008911,            0.008911,            0.008911
                  35,            0.079537,            0.041301,            0.030402,          0.00033808,             0.12576,          0.00031118,          9.7819e-05,             0.10442,            0.068537,             0.06283,            0.008878,            0.008878,            0.008878
                  36,            0.078481,             0.03992,            0.029929,             0.38588,            0.052453,            0.057563,            0.012984,            0.086722,             0.04039,            0.032275,            0.008845,            0.008845,            0.008845
                  37,            0.077331,            0.039862,            0.029247,             0.36589,             0.10569,            0.098106,            0.023675,             0.08222,            0.038849,            0.027853,            0.008812,            0.008812,            0.008812
                  38,             0.07699,            0.041459,            0.029613,             0.29105,             0.20286,             0.12205,             0.03424,            0.077248,            0.041313,            0.026019,            0.008779,            0.008779,            0.008779
                  39,            0.075481,             0.03975,            0.028376,             0.37456,             0.14088,            0.094958,            0.031587,            0.079184,            0.042391,            0.027388,            0.008746,            0.008746,            0.008746
                  40,            0.074542,             0.04008,            0.028068,              0.3127,             0.15756,             0.10835,            0.037022,            0.076458,            0.039637,            0.027743,            0.008713,            0.008713,            0.008713
                  41,            0.074013,            0.041194,            0.027064,          0.00030381,             0.12576,           0.0003052,          7.0986e-05,              0.1068,            0.066645,            0.069207,             0.00868,             0.00868,             0.00868
                  42,            0.072884,            0.041002,            0.026976,           0.0016321,             0.27348,            0.003308,          0.00059261,             0.10006,            0.055824,            0.059601,            0.008647,            0.008647,            0.008647
                  43,            0.071997,            0.041652,            0.026877,             0.64279,            0.058333,            0.070343,            0.034188,            0.095096,            0.045349,            0.051974,            0.008614,            0.008614,            0.008614
                  44,            0.071812,            0.042503,             0.02683,             0.43687,            0.084524,            0.030401,           0.0069099,            0.097263,            0.037015,            0.053274,            0.008581,            0.008581,            0.008581
                  45,            0.071971,            0.041259,            0.026325,             0.75706,            0.036797,            0.020864,           0.0064953,            0.096544,            0.049141,            0.056607,            0.008548,            0.008548,            0.008548
                  46,            0.071546,            0.038653,            0.025913,             0.28628,             0.04881,           0.0016411,          0.00031954,             0.10679,            0.054237,            0.069378,            0.008515,            0.008515,            0.008515
                  47,            0.068681,            0.040238,             0.02565,            0.012602,             0.10092,           0.0087577,            0.003065,             0.10438,            0.080154,            0.078898,            0.008482,            0.008482,            0.008482
                  48,            0.070362,            0.039909,            0.025986,             0.35098,             0.21136,             0.18476,            0.057197,             0.06913,            0.042508,            0.024227,            0.008449,            0.008449,            0.008449
                  49,            0.068288,            0.040896,            0.025095,             0.16727,            0.068994,             0.01296,           0.0049376,              0.1023,            0.039525,            0.058166,            0.008416,            0.008416,            0.008416
