               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10554,            0.042812,            0.057242,          0.00097943,             0.10992,          0.00077101,          0.00022009,             0.10136,             0.03625,            0.055606,              0.0766,              0.0026,              0.0026
                   1,             0.10454,            0.042091,            0.056969,          0.00030149,            0.087987,          0.00025474,          8.6861e-05,             0.10131,            0.036273,            0.055556,            0.052283,           0.0052825,           0.0052825
                   2,             0.10472,            0.041556,            0.057065,           0.0004178,            0.097222,           0.0003979,           0.0001069,             0.10124,            0.036189,            0.055535,            0.027947,           0.0079472,           0.0079472
                   3,             0.10435,            0.042373,             0.05679,           0.0011215,             0.19518,           0.0012241,          0.00035938,              0.1043,            0.036275,            0.057703,            0.009901,            0.009901,            0.009901
                   4,             0.10311,            0.042322,            0.056466,           0.0015039,             0.27109,           0.0022435,          0.00094907,                 nan,                 nan,             0.14251,            0.009901,            0.009901,            0.009901
                   5,             0.10125,             0.04175,            0.055548,            0.014286,            0.010714,           0.0034371,           0.0012023,                 nan,                 nan,             0.65049,            0.009868,            0.009868,            0.009868
                   6,            0.099893,            0.040817,            0.054665,           0.0028924,             0.14508,           0.0022483,          0.00055561,                 nan,                 nan,             0.72221,            0.009835,            0.009835,            0.009835
                   7,            0.097938,            0.039119,            0.052983,           0.0023447,             0.11605,            0.001571,          0.00043184,                 nan,                 nan,             0.23096,            0.009802,            0.009802,            0.009802
                   8,            0.097774,            0.038436,            0.050808,           0.0008502,            0.069625,          0.00068518,          0.00016161,                 nan,                 nan,             0.11678,            0.009769,            0.009769,            0.009769
                   9,            0.098301,            0.037955,            0.048966,           0.0029572,             0.11934,            0.002386,          0.00068312,                 nan,                 nan,            0.065073,            0.009736,            0.009736,            0.009736
                  10,            0.097335,            0.039836,            0.047047,          0.00078312,             0.09899,          0.00083928,          0.00020664,             0.10277,            0.031258,            0.052683,            0.009703,            0.009703,            0.009703
