                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.8196,                 4.5498,                 4.2438,                0.00153,                0.24048,                0.00854,                0.00274,                 4.8051,                 4.4769,                 4.1313,               0.070484,              0.0032796,              0.0032796
                      1,                 3.8426,                 4.4077,                  4.147,                0.00141,                 0.2369,                 0.0046,                0.00135,                 4.7869,                 4.3382,                 4.0963,               0.040462,              0.0065911,              0.0065911
                      2,                 3.7796,                 4.2077,                 4.0229,                0.28837,                0.00357,                0.00193,                0.00066,                 4.6238,                  6.458,                 4.1174,               0.010418,              0.0098806,              0.0098806
                      3,                 3.5866,                 4.0157,                 3.7284,                0.14547,                 0.0131,                0.00191,                0.00064,                 4.0003,                 13.759,                 3.5458,               0.009901,               0.009901,               0.009901
                      4,                 3.2635,                 3.7897,                 3.3752,                0.44483,                   0.05,                0.01207,                 0.0031,                 3.5998,                  5.721,                 3.1002,               0.009901,               0.009901,               0.009901
                      5,                 3.0391,                 3.6219,                  3.119,                0.36668,                0.05591,                 0.0477,                0.01282,                 3.2546,                 3.5158,                 2.8561,               0.009868,               0.009868,               0.009868
                      6,                 2.8565,                 3.3884,                 2.9703,                0.16786,                0.24669,                0.04043,                0.01016,                  3.273,                 3.8679,                 2.8564,               0.009835,               0.009835,               0.009835
                      7,                 2.6781,                 3.1671,                 2.8106,                0.42065,                0.15826,                 0.0461,                0.01021,                 3.1686,                 4.4111,                 2.6739,               0.009802,               0.009802,               0.009802
                      8,                 2.4919,                 3.0122,                 2.6515,                0.28317,                0.23292,                0.16634,                0.05119,                  2.905,                 3.1306,                 2.5118,               0.009769,               0.009769,               0.009769
                      9,                 2.3727,                 2.8752,                 2.5127,                0.21421,                0.29856,                0.21057,                0.08074,                 2.6084,                   2.94,                 2.3074,               0.009736,               0.009736,               0.009736
                     10,                  2.241,                 2.7526,                  2.402,                0.28092,                0.20584,                0.08181,                0.04664,                 2.7552,                 3.9087,                 2.3645,               0.009703,               0.009703,               0.009703
                     11,                 2.1447,                 2.6261,                 2.2736,                0.33197,                0.31239,                0.27214,                0.11215,                 2.4997,                 2.6982,                 2.1695,                0.00967,                0.00967,                0.00967
                     12,                  2.078,                 2.5564,                 2.2305,                0.41693,                0.26451,                 0.2338,                0.10741,                 2.4484,                 2.8796,                 2.1132,               0.009637,               0.009637,               0.009637
                     13,                 2.0042,                 2.4721,                 2.1644,                0.29039,                0.33066,                0.28212,                0.16488,                 2.3218,                 2.5452,                 2.0233,               0.009604,               0.009604,               0.009604
                     14,                 1.9373,                 2.3618,                 2.0852,                0.43649,                0.30477,                0.31998,                 0.1686,                 2.3514,                 2.4759,                 2.0494,               0.009571,               0.009571,               0.009571
                     15,                 1.8635,                 2.2778,                 2.0389,                0.52614,                0.37792,                0.42669,                 0.2327,                 2.2413,                 2.3966,                 2.0052,               0.009538,               0.009538,               0.009538
                     16,                  1.829,                 2.2507,                  2.026,                0.42536,                0.42192,                0.40856,                0.20945,                 2.2247,                 2.2982,                 2.0055,               0.009505,               0.009505,               0.009505
                     17,                 1.7888,                 2.1856,                 1.9729,                0.36336,                0.49895,                0.46355,                 0.2656,                 2.1672,                  2.421,                 2.0195,               0.009472,               0.009472,               0.009472
                     18,                  1.745,                  2.162,                 1.9481,                0.43242,                0.40174,                0.41522,                0.24877,                 2.1313,                 2.2961,                  1.951,               0.009439,               0.009439,               0.009439
